"id","code","name","abreviatura","rounding","position","symbol"
"base.ARS",20,"ARS A","PESO",0.0001,,"$"
"base.BOB",63,"BOB","BOLIVIANO",0.0001,,"Bs."
"base.BRL",7,"BRL","CRUZEIRO REAL",0.0001,,"R$"
"base.CAD",5,"CAD","DOLAR CAN",0.0001,,"$"
"base.USD",3,"USD","DOLAR USA",0.0001,,"$"
"base.PYG",164,"PYG","GUARANI",0.0001,,"₲"
"base.PEN",163,"PEN","NUEVO SOL",0.0001,,"S/"
"base.UYU",47,"UYU","PESO URUG",0.0001,,"$"
"base.AUD",22,"AUD","DOLAR AUST",0.0001,,"$"
"base.CNY",8,"CNY","RENMINBI",0.0001,,"¥"
"base.JPY",26,"JPY","YEN",0.0001,,"¥"
"base.CHF",6,"CHF","FRANCO SZ",0.0001,,"CHF"
"base.NOK",15,"NOK","CORONA NOR",0.0001,,"kr"
"base.NZD",36,"NZD","DOLAR NZ",0.0001,,"$"
"base.GBR",175,"GBR","LIBRA EST",0.0001,,"£"
"base.SEK",19,"SEK","CORONA SC",0.0001,,"kr"
"base.HKD",25,"HKD","DOLAR HK",0.0001,,"$"
"base.ZAR",39,"ZAR","RAND",0.0001,,"R"
"base.COP",9,"COP","PESO COL",0.0001,,"$"
"base.ECS",76,"ECS","SUCRE",0.0001,,"S/."
"base.MXN",34,"MXN","PESO MEX",0.0001,,"$"
"base.VEF",4,"VEF","BOLIVAR",0.0001,,"Bs.F"
"base.SGD",38,"SGD","DOLAR SIN",0.0001,,"$"
"base.INR",21,"INR","RUPIA",0.0001,,"₹"
"base.TWD",140,"TWD","DOLAR TAI",0.0001,,"NT$"
"base.AED",131,"AED","DIRHAM",0.0001,,"د.إ"
"base.EUR",1,"EUR","EURO",0.0001,,"€"
"base.CLP",46,"CLP","PESO CL",1,"before","$"
"base.OTR",900,"OTR","OTRAS NO ESPECIFICADAS",0.0001,,"N/A"